"concept_id","property","value","value_type","source_column"
"era:practice:b34","linked_table","Irrig.Out","string","Linked.Tab"
"era:practice:b34","linked_column","I.Level.Name","string","Linked.Col"
"era:practice:b34","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b37","legacy_subpractice_code","Ir+De","string","Subpractice.Code"
"era:practice:b37","legacy_short_label","Irrigation Deficit","string","Subpractice.S"
"era:practice:b37","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b37","linked_table","Irrig.Out","string","Linked.Tab"
"era:practice:b37","linked_column","I.Level.Name","string","Linked.Col"
"era:practice:b37","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b72","legacy_subpractice_code","Ir+S","string","Subpractice.Code"
"era:practice:b72","legacy_short_label","Irrigation Sprinkers","string","Subpractice.S"
"era:practice:b72","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b72","linked_table","Irrig.Out","string","Linked.Tab"
"era:practice:b72","linked_column","I.Level.Name","string","Linked.Col"
"era:practice:b72","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b36","legacy_subpractice_code","Ir+APR","string","Subpractice.Code"
"era:practice:b36","legacy_short_label","Irrigation APRI","string","Subpractice.S"
"era:practice:b36","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b36","linked_table","Irrig.Out","string","Linked.Tab"
"era:practice:b36","linked_column","I.Level.Name","string","Linked.Col"
"era:practice:b36","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b54","legacy_subpractice_code","Ir+Su","string","Subpractice.Code"
"era:practice:b54","legacy_short_label","Irrigation Supp","string","Subpractice.S"
"era:practice:b54","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b54","linked_table","Irrig.Out","string","Linked.Tab"
"era:practice:b54","linked_column","I.Level.Name","string","Linked.Col"
"era:practice:b54","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b53","legacy_subpractice_code","IrO","string","Subpractice.Code"
"era:practice:b53","legacy_short_label","Irrigation Other","string","Subpractice.S"
"era:practice:b53","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b53","linked_table","Irrig.Out","string","Linked.Tab"
"era:practice:b53","linked_column","I.Level.Name","string","Linked.Col"
"era:practice:b53","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b13","legacy_subpractice_code","IRM+AWD","string","Subpractice.Code"
"era:practice:b13","legacy_short_label","AWD","string","Subpractice.S"
"era:practice:b13","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b13","linked_table","NA","string","Linked.Tab"
"era:practice:b13","linked_column","NA","string","Linked.Col"
"era:practice:b13","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b14.1","legacy_subpractice_code","IRM+MD","string","Subpractice.Code"
"era:practice:b14.1","legacy_short_label","Midseason Drainage","string","Subpractice.S"
"era:practice:b14.1","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b14.1","linked_table","NA","string","Linked.Tab"
"era:practice:b14.1","linked_column","NA","string","Linked.Col"
"era:practice:b14.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b14.2","legacy_subpractice_code","IRM+RWU","string","Subpractice.Code"
"era:practice:b14.2","legacy_short_label","Reduced Water Use","string","Subpractice.S"
"era:practice:b14.2","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b14.2","linked_table","NA","string","Linked.Tab"
"era:practice:b14.2","linked_column","NA","string","Linked.Col"
"era:practice:b14.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b15","legacy_subpractice_code","SRI","string","Subpractice.Code"
"era:practice:b15","legacy_short_label","SRI","string","Subpractice.S"
"era:practice:b15","short_suffix","NA","string","Subpractice.Suffix"
"era:practice:b15","linked_table","NA","string","Linked.Tab"
"era:practice:b15","linked_column","NA","string","Linked.Col"
"era:practice:b15","legacy_deprecated","TRUE","boolean","Depreciated"
"era:practice:b3.1","legacy_subpractice_code","CRo+N","string","Subpractice.Code"
"era:practice:b3.1","legacy_short_label","Rotation (Nfix)","string","Subpractice.S"
"era:practice:b3.1","short_suffix","Nfix","string","Subpractice.Suffix"
"era:practice:b3.1","linked_table","Rot.Out","string","Linked.Tab"
"era:practice:b3.1","linked_column","ED.Rot","string","Linked.Col"
"era:practice:b3.1","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b3.2","legacy_subpractice_code","CRo-N","string","Subpractice.Code"
"era:practice:b3.2","legacy_short_label","Rotation (nonNfix)","string","Subpractice.S"
"era:practice:b3.2","short_suffix","nonNfix","string","Subpractice.Suffix"
"era:practice:b3.2","linked_table","Rot.Out","string","Linked.Tab"
"era:practice:b3.2","linked_column","ED.Rot","string","Linked.Col"
"era:practice:b3.2","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b43","legacy_subpractice_code","CRo±N","string","Subpractice.Code"
"era:practice:b43","legacy_short_label","Rotation (Mixed)","string","Subpractice.S"
"era:practice:b43","short_suffix","Mixed","string","Subpractice.Suffix"
"era:practice:b43","linked_table","Rot.Out","string","Linked.Tab"
"era:practice:b43","linked_column","ED.Rot","string","Linked.Col"
"era:practice:b43","legacy_deprecated","FALSE","boolean","Depreciated"
"era:practice:b44","legacy_short_label","Rotation (Complex)","string","Subpractice.S"
"era:practice:b44","short_suffix","Complex","string","Subpractice.Suffix"
"era:practice:b44","linked_table","Rot.Out","string","Linked.Tab"
"era:practice:b44","linked_column","ED.Rot","string","Linked.Col"
