"concept_id","language","label_type","label","source_column"
"era:practice:h55","en","pref","Unimproved Variety","Subpractice"
"era:practice:h55","en","alt","Unimpr Variety","Subpractice.S"
"era:practice:b35","en","pref","Cisterns and Tanks","Subpractice"
"era:practice:b35","en","alt","Water Tanks","Subpractice.S"
"era:practice:b33","en","pref","Zai Pits","Subpractice"
"era:practice:b45","en","pref","Stone Rows","Subpractice"
"era:practice:b46","en","pref","Grass Strips","Subpractice"
"era:practice:b47","en","pref","Planting Basins","Subpractice"
"era:practice:b68","en","pref","Dam","Subpractice"
"era:practice:b70","en","pref","Terraces","Subpractice"
"era:practice:b71.1","en","pref","Bunds","Subpractice"
"era:practice:b71.2","en","pref","Ridge & Furrow","Subpractice"
"era:practice:b71.3","en","pref","Tied Ridges","Subpractice"
"era:practice:b52","en","pref","Microcatchments","Subpractice"
"era:practice:b56","en","pref","Fanya Juu or Fanya Chini","Subpractice"
"era:practice:b56","en","alt","Fanya Juu or Chini","Subpractice.S"
"era:practice:b58","en","pref","Trench","Subpractice"
"era:practice:h1","en","pref","Non CSA","Subpractice"
"era:practice:h2","en","pref","Monoculture","Subpractice"
"era:practice:h38","en","pref","Continuous Cropping","Subpractice"
"era:practice:h18","en","pref","Simple Intercrop","Subpractice"
"era:practice:h50","en","pref","Simple Crop Rotation","Subpractice"
"era:practice:h48","en","pref","Conventional rice management","Subpractice"
"era:practice:h66.1","en","pref","Chemical Weeding (Herbicides)","Subpractice"
"era:practice:h66.1","en","alt","Weed Chem","Subpractice.S"
"era:practice:h66.2","en","pref","Hand Weeding","Subpractice"
"era:practice:h66.2","en","alt","Weed Hand","Subpractice.S"
"era:practice:b16","en","pref","Inorganic K Inputs","Subpractice"
"era:practice:b16","en","alt","Inputs K","Subpractice.S"
"era:practice:b17","en","pref","Inorganic N Inputs","Subpractice"
"era:practice:b17","en","alt","Inputs N","Subpractice.S"
"era:practice:b21","en","pref","Inorganic P Inputs","Subpractice"
"era:practice:b21","en","alt","Inputs P","Subpractice.S"
"era:practice:b16.1","en","pref","Inorganic K Reduction","Subpractice"
"era:practice:b16.1","en","alt","Reduce K","Subpractice.S"
"era:practice:b17.1","en","pref","Inorganic N Reduction","Subpractice"
"era:practice:b17.1","en","alt","Reduce N","Subpractice.S"
"era:practice:b21.1","en","pref","Inorganic P Reduction","Subpractice"
"era:practice:b21.1","en","alt","Reduce P","Subpractice.S"
"era:practice:b64","en","pref","Inorganic Micronutrients Inputs","Subpractice"
"era:practice:b64","en","alt","Inputs Micro","Subpractice.S"
"era:practice:b23","en","pref","Urea","Subpractice"
"era:practice:b23","en","alt","Inputs Urea","Subpractice.S"
"era:practice:b29","en","pref","Compost","Subpractice"
"era:practice:b29","en","alt","Inputs Compost","Subpractice.S"
"era:practice:b30","en","pref","Manure","Subpractice"
"era:practice:b30","en","alt","Inputs Manure","Subpractice.S"
"era:practice:b75","en","pref","Kraaling or Parcage","Subpractice"
"era:practice:b75","en","alt","Inputs Kraaling","Subpractice.S"
"era:practice:b73","en","pref","Organic (Other)","Subpractice"
"era:practice:b73","en","alt","Inputs Other Organic","Subpractice.S"
"era:practice:b74","en","pref","Ash","Subpractice"
"era:practice:b74","en","alt","Inputs Ash","Subpractice.S"
"era:practice:b67","en","pref","Biosolids","Subpractice"
"era:practice:b67","en","alt","Inputs Biosolids","Subpractice.S"
"era:practice:b29.1","en","pref","Compost Substitution","Subpractice"
"era:practice:b29.1","en","alt","Sub Compost","Subpractice.S"
"era:practice:b30.1","en","pref","Manure Substitution","Subpractice"
"era:practice:b30.1","en","alt","Sub Manure","Subpractice.S"
"era:practice:b75.1","en","pref","Kraaling or Parcage Substitution","Subpractice"
"era:practice:b75.1","en","alt","Sub Kraaling","Subpractice.S"
"era:practice:b73.1","en","pref","Organic (Other) Substitution","Subpractice"
"era:practice:b73.1","en","alt","Sub Other Organic","Subpractice.S"
"era:practice:b67.1","en","pref","Biosolids Substitution","Subpractice"
"era:practice:b67.1","en","alt","Sub Biosolids","Subpractice.S"
"era:practice:h10","en","pref","Conventional input (fertilizer) use","Subpractice"
"era:practice:h10.1","en","pref","No fertilizers added","Subpractice"
"era:practice:h10.1","en","alt","No Fert","Subpractice.S"
"era:practice:h10.2","en","pref","Recommend rate of fertilizer","Subpractice"
"era:practice:f1","en","pref","Harvest Technique","Subpractice"
"era:practice:f2","en","pref","Harvesting Timing","Subpractice"
"era:practice:f2","en","alt","Harvest Timing","Subpractice.S"
"era:practice:f3","en","pref","Improved Drying","Subpractice"
"era:practice:f3","en","alt","Drying Improv","Subpractice.S"
"era:practice:f4","en","pref","Improved Chemical Storage","Subpractice"
"era:practice:f4","en","alt","Storage Impr Chem","Subpractice.S"
"era:practice:f5","en","pref","Improved Physical Storage","Subpractice"
"era:practice:f5","en","alt","Storage Impr Phys","Subpractice.S"
"era:practice:h17","en","pref","Traditional harvesting method","Subpractice"
"era:practice:h17","en","alt","Harvest Trad","Subpractice.S"
"era:practice:h21","en","pref","Unimproved Storage Structure","Subpractice"
"era:practice:h21","en","alt","Storage Unimpr Phys","Subpractice.S"
"era:practice:h22","en","pref","Unimprove or No Preservation Technique","Subpractice"
"era:practice:h22","en","alt","Storage Unimpr Chem","Subpractice.S"
"era:practice:h30","en","pref","Uimproved Drying Technique","Subpractice"
