concept_id,preferred_label,recommended_route,public_mapping_schemes,public_mapping_targets
AOM_001391,Digitaria smutsii,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_66017;wfo-0000864420
AOM_001392,Digitaria ternota,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_66017;wfo-0000864460
AOM_001395,Bracharia,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_240448;wfo-4000005174
AOM_001399,Brachiaria serrata,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_240448;wfo-0000854245
AOM_001401,Chloris,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_66011;wfo-4000007992
AOM_001412,Pennisetum mezianum,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_281128;wfo-0000888986
AOM_001420,Saccharomyces cerevisiae,research_taxon_insufficient_for_material,ncbi-taxonomy,http://purl.obolibrary.org/obo/NCBITaxon_4932
AOM_001421,Saccharomyces cerevisiae Slurry,research_taxon_insufficient_for_material,ncbi-taxonomy,http://purl.obolibrary.org/obo/NCBITaxon_4932
AOM_001439,Beetroot Discards,research_public_ontology,agrovoc;ncbi-taxonomy;world-flora-online,http://aims.fao.org/aos/agrovoc/c_27459;http://purl.obolibrary.org/obo/NCBITaxon_161934;wfo-0000564998
AOM_001441,Pennisetum petiolar,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_4541;wfo-0000889056
AOM_001443,Pennisetum,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_4541;wfo-4000028547
AOM_001444,Pennisetum villosum,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_29694;wfo-0000858643
AOM_001448,Sporobolus natalensis,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_523336;wfo-0000901353
AOM_001449,Sporobolus panicoides,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_1629783;wfo-0000901376
AOM_001456,Aristida,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_121766;wfo-4000003057
AOM_001461,Cynodon,research_taxon_insufficient_for_material,cpc-component;world-flora-online,01919.9;wfo-4000010411
AOM_001464,Cynadon plectostachyus,research_taxon_insufficient_for_material,cpc-component;world-flora-online,01919.9;wfo-0000861260
AOM_001466,Diheteropogon amplectens,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_8233;wfo-0000864548
AOM_001467,Eleusine floccifolia,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_268724;wfo-0000865709
AOM_001468,Eragrostis capensis,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_42051;wfo-0000867505
AOM_001469,Eragrostis papposa,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_208284;wfo-0000868171
AOM_001470,Eragrostis rigidior,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_208287;wfo-0000868361
AOM_001471,Harpachne schimperi,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_4513;wfo-0000873744
AOM_001477,Loudetia simplex,research_taxon_insufficient_for_material,cpc-component;ncbi-taxonomy;world-flora-online,01919.9;http://purl.obolibrary.org/obo/NCBITaxon_318917;wfo-0000878679
AOM_001478,Loudetia togoensis,research_taxon_insufficient_for_material,cpc-component;world-flora-online,01919.9;wfo-0000878686
