subject_id,target_scheme,target_id,target_uri,original_value,evidence,status
AOM_001333,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000671,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000671,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000671,world-flora-online,wfo-7000000046,,wfo-7000000046,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000671,feedipedia,15497,https://www.feedipedia.org/node/15497,https://www.feedipedia.org/node/15497,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000671,cpc-product,2165,,2165,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000672,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000672,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000672,world-flora-online,wfo-7000000046,,wfo-7000000046,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000672,cpc-product,21651,,21651,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001837,agrovoc,c_5514,http://aims.fao.org/aos/agrovoc/c_5514,http://aims.fao.org/aos/agrovoc/c_5514,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001837,ncbi-taxonomy,NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,http://purl.obolibrary.org/obo/NCBITaxon_4710,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001837,world-flora-online,wfo-7000000046,,wfo-7000000046,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001837,feedipedia,15497,https://www.feedipedia.org/node/15497,https://www.feedipedia.org/node/15497,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001837,cpc-product,21651,,21651,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_000676,agrovoc,c_8170,http://aims.fao.org/aos/agrovoc/c_8170,http://aims.fao.org/aos/agrovoc/c_8170,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001282,ncbi-taxonomy,NCBITaxon_4639,http://purl.obolibrary.org/obo/NCBITaxon_4639,http://purl.obolibrary.org/obo/NCBITaxon_4639,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001282,world-flora-online,wfo-0000407924,,wfo-0000407924,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001282,feedipedia,22889,https://www.feedipedia.org/node/22889,https://www.feedipedia.org/node/22889,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001818,ncbi-taxonomy,NCBITaxon_4639,http://purl.obolibrary.org/obo/NCBITaxon_4639,http://purl.obolibrary.org/obo/NCBITaxon_4639,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001818,world-flora-online,wfo-0000407924,,wfo-0000407924,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
AOM_001818,feedipedia,22889,https://www.feedipedia.org/node/22889,https://www.feedipedia.org/node/22889,https://doi.org/10.7910/DVN/75E7HV,legacy-unreviewed
